layer,in_features,act_max,act_mean,act_std,outlier_channel_fraction,outlier_channels_count,token_outlier_rate,sat_rate_worst,sat_rate_typical,bits_needed,adc_overhead_bits
transformer.h.0.attn.c_attn,768,0.8628738522529602,0.09253845363855362,0.11833885312080383,0.0,0,0.0164794921875,0.0,0.0,7,0
transformer.h.0.attn.c_proj,768,2.0408029556274414,0.09519246965646744,0.1660016030073166,0.0,0,0.061279296875,0.91473388671875,0.0,9,2
transformer.h.0.mlp.c_fc,768,2.883756160736084,0.10601148009300232,0.14606565237045288,0.0,0,0.00274658203125,0.42987060546875,0.0,9,2
transformer.h.0.mlp.c_proj,3072,12.208874702453613,0.13127215206623077,0.1954403668642044,0.0,0,0.930419921875,1.0,0.0,11,4
transformer.h.1.attn.c_attn,768,3.0512306690216064,0.10527539998292923,0.19103579223155975,0.0,0,0.0023193359375,0.99993896484375,0.0,9,2
transformer.h.1.attn.c_proj,768,3.7892227172851562,0.14448970556259155,0.26889768242836,0.0,0,0.05462646484375,1.0,0.0,9,2
transformer.h.1.mlp.c_fc,768,6.579519271850586,0.11063790321350098,0.18112465739250183,0.0,0,0.00238037109375,1.0,0.0,10,3
transformer.h.1.mlp.c_proj,3072,18.114456176757812,0.10811027884483337,0.15430553257465363,0.0,0,0.88995361328125,0.9974365234375,0.0,12,5
transformer.h.2.attn.c_attn,768,6.679506301879883,0.1290183961391449,0.31754204630851746,0.0,0,0.002197265625,1.0,0.0,10,3
transformer.h.2.attn.c_proj,768,4.333976745605469,0.16212470829486847,0.3005262017250061,0.0,0,0.0968017578125,1.0,0.0,10,3
transformer.h.2.mlp.c_fc,768,19.91119384765625,0.1395217776298523,0.20931187272071838,0.0,0,0.0020751953125,1.0,0.0,12,5
transformer.h.2.mlp.c_proj,3072,63.00691604614258,0.1092694103717804,0.16615009307861328,0.0,0,0.939697265625,0.9775390625,0.0,13,6
transformer.h.3.attn.c_attn,768,9.090954780578613,0.15961600840091705,0.38314706087112427,0.0,0,0.00213623046875,1.0,0.0,11,4
transformer.h.3.attn.c_proj,768,2.810267448425293,0.15993624925613403,0.2627243101596832,0.0,0,0.11163330078125,1.0,0.0,9,2
transformer.h.3.mlp.c_fc,768,9.30113410949707,0.15558265149593353,0.22609645128250122,0.0,0,0.00201416015625,1.0,0.0,11,4
transformer.h.3.mlp.c_proj,3072,10.959792137145996,0.11090866476297379,0.1514616310596466,0.0,0,0.9814453125,0.99981689453125,0.0,11,4
transformer.h.4.attn.c_attn,768,7.694553852081299,0.17660371959209442,0.34706106781959534,0.0,0,0.00201416015625,1.0,0.0,10,3
