config,chip_area_mm2,adc_area_mm2,adc_savings_pct,total_energy_nJ,energy_savings_pct,lbl_relative_latency,lbl_speedup,pipe_relative_latency,pipe_speedup,max_bits,min_bits,mean_bits,ppl
Uniform 4b,736.722495,28.554055000000027,87.49999999999999,-515.2248999999993,104.51928546953633,0.4509098095964072,2.217738400712691,0.4509098095964073,2.2177384007126903,4,4,4.0,
Uniform 5b,765.27655,57.10811000000005,74.99999999999997,1187.0334000000028,89.58795897388826,0.5359664056484404,1.8657885820103728,0.5359664056484409,1.8657885820103712,5,5,5.0,
Uniform 6b,822.3846600000002,114.2162200000001,49.99999999999996,4591.550000000007,59.72530598259213,0.6948392254178724,1.4391818472807227,0.6948392254178717,1.439181847280724,6,6,6.0,315.3
Uniform 7b,936.6008800000002,228.4324400000002,-8.881784197001252e-14,11400.583200000014,-1.3322676295501878e-13,1.0,1.0,1.0,1.0,7,7,7.0,306.4
Uniform 8b,1165.0333200000005,456.8648800000004,-100.00000000000017,25018.64960000003,-119.45061196518468,1.5968173628170197,0.6262456955226573,1.5968173628170181,0.626245695522658,8,8,8.0,
ILP 5%,924.0840339726029,215.91559397260292,5.479452054794431,10654.387780821931,6.545239011790804,0.9665577233334653,1.0345993579681914,1.0,1.0,7,6,6.890410958904109,312.9
ILP 10%,913.1317936986303,204.96335369863033,10.273972602739645,10001.46678904111,12.272323147107855,0.9372957312502476,1.0668991297614383,1.0,1.0,7,6,6.794520547945205,305.2
ILP 15%,902.1795534246577,194.0111134246577,15.068493150684859,9348.545797260287,17.99940728242493,0.90803373916703,1.1012806648763225,1.0,1.0,7,6,6.698630136986301,311.0
ILP 20%,889.6627073972604,181.49426739726042,20.54794520547939,8602.350378082203,24.544646294215866,0.8745914625004955,1.143390992110712,1.0,1.0,7,6,6.589041095890411,308.6
ILP 25%,878.7104671232877,170.54202712328774,25.342465753424626,7949.42938630138,30.27173042953294,0.8453294704172778,1.1829707055006287,1.0,1.0,7,6,6.493150684931507,313.9
ILP 30%,867.7582268493152,159.58978684931517,30.136986301369816,7296.508394520559,35.998814564849994,0.81606747833406,1.225388863726593,1.0,1.0,7,6,6.397260273972603,311.5
ILP 40%,844.2891405479453,136.1207005479453,40.41095890410955,5897.391983561652,48.271137711958,0.7533632095843078,1.3273809860608696,1.0,1.0,7,6,6.191780821917808,311.7
ILP 50%,822.3846600000002,114.2162200000001,49.99999999999996,4591.550000000007,59.72530598259213,0.6948392254178724,1.4391818472807227,0.6948392254178717,1.439181847280724,6,6,6.0,318.5
SQ + 6b,822.3846600000002,114.2162200000001,49.99999999999996,4591.550000000007,59.72530598259213,0.6948392254178724,1.4391818472807227,0.6948392254178717,1.439181847280724,6,6,6.0,305.0
SQ + ILP 20%,889.6627073972604,181.49426739726042,20.54794520547939,8602.350378082203,24.544646294215866,0.8745914625004955,1.143390992110712,1.0,1.0,7,6,6.589041095890411,309.4
