layer_idx,layer,layer_type,adc_bits,sat_rate,overhead_bits
0,model.decoder.layers.0.self_attn.q_proj,attn_qkv,8,1.0000,4
1,model.decoder.layers.0.self_attn.k_proj,attn_qkv,8,1.0000,4
2,model.decoder.layers.0.self_attn.v_proj,attn_qkv,8,1.0000,4
3,model.decoder.layers.0.self_attn.out_proj,attn_out,8,0.0974,3
4,model.decoder.layers.0.fc1,ffn_up,8,1.0000,6
5,model.decoder.layers.0.fc2,ffn_down,8,1.0000,4
6,model.decoder.layers.1.self_attn.q_proj,attn_qkv,8,1.0000,6
7,model.decoder.layers.1.self_attn.k_proj,attn_qkv,8,1.0000,6
8,model.decoder.layers.1.self_attn.v_proj,attn_qkv,8,1.0000,6
9,model.decoder.layers.1.self_attn.out_proj,attn_out,8,0.0029,2
10,model.decoder.layers.1.fc1,ffn_up,8,1.0000,6
11,model.decoder.layers.1.fc2,ffn_down,8,0.7852,3
12,model.decoder.layers.2.self_attn.q_proj,attn_qkv,8,1.0000,6
13,model.decoder.layers.2.self_attn.k_proj,attn_qkv,8,1.0000,6
14,model.decoder.layers.2.self_attn.v_proj,attn_qkv,8,1.0000,6
15,model.decoder.layers.2.self_attn.out_proj,attn_out,8,0.0056,2
16,model.decoder.layers.2.fc1,ffn_up,8,1.0000,6
17,model.decoder.layers.2.fc2,ffn_down,8,0.7134,3
18,model.decoder.layers.3.self_attn.q_proj,attn_qkv,8,1.0000,6
19,model.decoder.layers.3.self_attn.k_proj,attn_qkv,8,1.0000,6
20,model.decoder.layers.3.self_attn.v_proj,attn_qkv,8,1.0000,6
21,model.decoder.layers.3.self_attn.out_proj,attn_out,8,0.0498,1
22,model.decoder.layers.3.fc1,ffn_up,8,1.0000,6
23,model.decoder.layers.3.fc2,ffn_down,8,0.5957,4
24,model.decoder.layers.4.self_attn.q_proj,attn_qkv,8,1.0000,6
25,model.decoder.layers.4.self_attn.k_proj,attn_qkv,8,1.0000,6
26,model.decoder.layers.4.self_attn.v_proj,attn_qkv,8,1.0000,6
27,model.decoder.layers.4.self_attn.out_proj,attn_out,8,0.1135,1
28,model.decoder.layers.4.fc1,ffn_up,8,1.0000,6
29,model.decoder.layers.4.fc2,ffn_down,8,0.6309,3
30,model.decoder.layers.5.self_attn.q_proj,attn_qkv,8,1.0000,6
31,model.decoder.layers.5.self_attn.k_proj,attn_qkv,8,1.0000,6
32,model.decoder.layers.5.self_attn.v_proj,attn_qkv,8,1.0000,6
33,model.decoder.layers.5.self_attn.out_proj,attn_out,8,0.0317,1
34,model.decoder.layers.5.fc1,ffn_up,8,1.0000,6
35,model.decoder.layers.5.fc2,ffn_down,8,0.6611,3
36,model.decoder.layers.6.self_attn.q_proj,attn_qkv,8,1.0000,6
37,model.decoder.layers.6.self_attn.k_proj,attn_qkv,8,1.0000,6
38,model.decoder.layers.6.self_attn.v_proj,attn_qkv,8,1.0000,6
39,model.decoder.layers.6.self_attn.out_proj,attn_out,8,0.0825,1
40,model.decoder.layers.6.fc1,ffn_up,8,1.0000,6
41,model.decoder.layers.6.fc2,ffn_down,8,0.7871,4
42,model.decoder.layers.7.self_attn.q_proj,attn_qkv,8,1.0000,6
43,model.decoder.layers.7.self_attn.k_proj,attn_qkv,8,1.0000,6
44,model.decoder.layers.7.self_attn.v_proj,attn_qkv,8,1.0000,6
45,model.decoder.layers.7.self_attn.out_proj,attn_out,8,0.1589,2
46,model.decoder.layers.7.fc1,ffn_up,8,1.0000,6
47,model.decoder.layers.7.fc2,ffn_down,8,0.8284,3
48,model.decoder.layers.8.self_attn.q_proj,attn_qkv,8,1.0000,6
49,model.decoder.layers.8.self_attn.k_proj,attn_qkv,8,1.0000,6
50,model.decoder.layers.8.self_attn.v_proj,attn_qkv,8,1.0000,6
51,model.decoder.layers.8.self_attn.out_proj,attn_out,8,0.3032,2
52,model.decoder.layers.8.fc1,ffn_up,8,1.0000,6
53,model.decoder.layers.8.fc2,ffn_down,8,0.9187,3
54,model.decoder.layers.9.self_attn.q_proj,attn_qkv,8,1.0000,6
55,model.decoder.layers.9.self_attn.k_proj,attn_qkv,8,1.0000,6
56,model.decoder.layers.9.self_attn.v_proj,attn_qkv,8,1.0000,6
57,model.decoder.layers.9.self_attn.out_proj,attn_out,8,0.4790,2
58,model.decoder.layers.9.fc1,ffn_up,8,1.0000,6
59,model.decoder.layers.9.fc2,ffn_down,8,0.9751,3
60,model.decoder.layers.10.self_attn.q_proj,attn_qkv,8,1.0000,6
61,model.decoder.layers.10.self_attn.k_proj,attn_qkv,8,1.0000,6
62,model.decoder.layers.10.self_attn.v_proj,attn_qkv,8,1.0000,6
63,model.decoder.layers.10.self_attn.out_proj,attn_out,8,0.5652,2
64,model.decoder.layers.10.fc1,ffn_up,8,1.0000,6
65,model.decoder.layers.10.fc2,ffn_down,8,0.9976,4
66,model.decoder.layers.11.self_attn.q_proj,attn_qkv,8,1.0000,6
67,model.decoder.layers.11.self_attn.k_proj,attn_qkv,8,1.0000,6
68,model.decoder.layers.11.self_attn.v_proj,attn_qkv,8,1.0000,6
69,model.decoder.layers.11.self_attn.out_proj,attn_out,8,0.5916,2
70,model.decoder.layers.11.fc1,ffn_up,8,1.0000,6
71,model.decoder.layers.11.fc2,ffn_down,8,0.9998,3
72,model.decoder.layers.12.self_attn.q_proj,attn_qkv,8,1.0000,6
73,model.decoder.layers.12.self_attn.k_proj,attn_qkv,8,1.0000,6
74,model.decoder.layers.12.self_attn.v_proj,attn_qkv,8,1.0000,6
75,model.decoder.layers.12.self_attn.out_proj,attn_out,8,0.9666,2
76,model.decoder.layers.12.fc1,ffn_up,8,1.0000,6
77,model.decoder.layers.12.fc2,ffn_down,8,0.9998,3
78,model.decoder.layers.13.self_attn.q_proj,attn_qkv,8,1.0000,6
79,model.decoder.layers.13.self_attn.k_proj,attn_qkv,8,1.0000,6
80,model.decoder.layers.13.self_attn.v_proj,attn_qkv,8,1.0000,6
81,model.decoder.layers.13.self_attn.out_proj,attn_out,8,0.9919,2
82,model.decoder.layers.13.fc1,ffn_up,8,1.0000,6
83,model.decoder.layers.13.fc2,ffn_down,8,1.0000,3
84,model.decoder.layers.14.self_attn.q_proj,attn_qkv,8,1.0000,6
85,model.decoder.layers.14.self_attn.k_proj,attn_qkv,8,1.0000,6
86,model.decoder.layers.14.self_attn.v_proj,attn_qkv,8,1.0000,6
87,model.decoder.layers.14.self_attn.out_proj,attn_out,8,0.9185,3
88,model.decoder.layers.14.fc1,ffn_up,8,1.0000,6
89,model.decoder.layers.14.fc2,ffn_down,8,1.0000,3
90,model.decoder.layers.15.self_attn.q_proj,attn_qkv,8,1.0000,6
91,model.decoder.layers.15.self_attn.k_proj,attn_qkv,8,1.0000,6
92,model.decoder.layers.15.self_attn.v_proj,attn_qkv,8,1.0000,6
93,model.decoder.layers.15.self_attn.out_proj,attn_out,8,0.9570,3
94,model.decoder.layers.15.fc1,ffn_up,8,1.0000,6
95,model.decoder.layers.15.fc2,ffn_down,8,1.0000,4
96,model.decoder.layers.16.self_attn.q_proj,attn_qkv,8,1.0000,6
97,model.decoder.layers.16.self_attn.k_proj,attn_qkv,8,1.0000,6
98,model.decoder.layers.16.self_attn.v_proj,attn_qkv,8,1.0000,6
99,model.decoder.layers.16.self_attn.out_proj,attn_out,8,0.9766,3
100,model.decoder.layers.16.fc1,ffn_up,8,1.0000,6
101,model.decoder.layers.16.fc2,ffn_down,8,1.0000,4
102,model.decoder.layers.17.self_attn.q_proj,attn_qkv,8,1.0000,6
103,model.decoder.layers.17.self_attn.k_proj,attn_qkv,8,1.0000,6
104,model.decoder.layers.17.self_attn.v_proj,attn_qkv,8,1.0000,6
105,model.decoder.layers.17.self_attn.out_proj,attn_out,8,0.9890,3
106,model.decoder.layers.17.fc1,ffn_up,8,1.0000,6
107,model.decoder.layers.17.fc2,ffn_down,8,1.0000,4
108,model.decoder.layers.18.self_attn.q_proj,attn_qkv,8,1.0000,6
109,model.decoder.layers.18.self_attn.k_proj,attn_qkv,8,1.0000,6
110,model.decoder.layers.18.self_attn.v_proj,attn_qkv,8,1.0000,6
111,model.decoder.layers.18.self_attn.out_proj,attn_out,8,0.9790,3
112,model.decoder.layers.18.fc1,ffn_up,8,1.0000,6
113,model.decoder.layers.18.fc2,ffn_down,8,0.9998,4
114,model.decoder.layers.19.self_attn.q_proj,attn_qkv,8,1.0000,6
115,model.decoder.layers.19.self_attn.k_proj,attn_qkv,8,1.0000,6
116,model.decoder.layers.19.self_attn.v_proj,attn_qkv,8,1.0000,6
117,model.decoder.layers.19.self_attn.out_proj,attn_out,8,0.9800,3
118,model.decoder.layers.19.fc1,ffn_up,8,1.0000,6
