layer_idx,layer,layer_type,adc_bits,sat_rate,overhead_bits
0,model.decoder.layers.0.self_attn.q_proj,attn_qkv,7,0.9991,2
1,model.decoder.layers.0.self_attn.k_proj,attn_qkv,7,0.9991,2
2,model.decoder.layers.0.self_attn.v_proj,attn_qkv,7,0.9991,2
3,model.decoder.layers.0.self_attn.out_proj,attn_out,7,0.0000,0
4,model.decoder.layers.0.fc1,ffn_up,7,0.3344,2
5,model.decoder.layers.0.fc2,ffn_down,7,0.0020,5
6,model.decoder.layers.1.self_attn.q_proj,attn_qkv,7,0.9999,3
7,model.decoder.layers.1.self_attn.k_proj,attn_qkv,7,0.9999,3
8,model.decoder.layers.1.self_attn.v_proj,attn_qkv,7,0.9999,3
9,model.decoder.layers.1.self_attn.out_proj,attn_out,7,0.0000,0
10,model.decoder.layers.1.fc1,ffn_up,7,1.0000,4
11,model.decoder.layers.1.fc2,ffn_down,7,0.0024,2
12,model.decoder.layers.2.self_attn.q_proj,attn_qkv,7,1.0000,4
13,model.decoder.layers.2.self_attn.k_proj,attn_qkv,7,1.0000,4
14,model.decoder.layers.2.self_attn.v_proj,attn_qkv,7,1.0000,4
15,model.decoder.layers.2.self_attn.out_proj,attn_out,7,0.0020,1
16,model.decoder.layers.2.fc1,ffn_up,7,1.0000,5
17,model.decoder.layers.2.fc2,ffn_down,7,0.0024,3
18,model.decoder.layers.3.self_attn.q_proj,attn_qkv,7,1.0000,4
19,model.decoder.layers.3.self_attn.k_proj,attn_qkv,7,1.0000,4
20,model.decoder.layers.3.self_attn.v_proj,attn_qkv,7,1.0000,4
21,model.decoder.layers.3.self_attn.out_proj,attn_out,7,0.0000,0
22,model.decoder.layers.3.fc1,ffn_up,7,1.0000,4
23,model.decoder.layers.3.fc2,ffn_down,7,0.0020,2
24,model.decoder.layers.4.self_attn.q_proj,attn_qkv,7,1.0000,4
25,model.decoder.layers.4.self_attn.k_proj,attn_qkv,7,1.0000,4
26,model.decoder.layers.4.self_attn.v_proj,attn_qkv,7,1.0000,4
27,model.decoder.layers.4.self_attn.out_proj,attn_out,7,0.0002,1
28,model.decoder.layers.4.fc1,ffn_up,7,1.0000,4
29,model.decoder.layers.4.fc2,ffn_down,7,0.0052,3
30,model.decoder.layers.5.self_attn.q_proj,attn_qkv,7,1.0000,4
31,model.decoder.layers.5.self_attn.k_proj,attn_qkv,7,1.0000,4
32,model.decoder.layers.5.self_attn.v_proj,attn_qkv,7,1.0000,4
33,model.decoder.layers.5.self_attn.out_proj,attn_out,7,0.0005,1
34,model.decoder.layers.5.fc1,ffn_up,7,1.0000,3
35,model.decoder.layers.5.fc2,ffn_down,7,0.0030,2
36,model.decoder.layers.6.self_attn.q_proj,attn_qkv,7,1.0000,4
37,model.decoder.layers.6.self_attn.k_proj,attn_qkv,7,1.0000,4
38,model.decoder.layers.6.self_attn.v_proj,attn_qkv,7,1.0000,4
39,model.decoder.layers.6.self_attn.out_proj,attn_out,7,0.0025,1
40,model.decoder.layers.6.fc1,ffn_up,7,1.0000,5
41,model.decoder.layers.6.fc2,ffn_down,7,0.0314,2
42,model.decoder.layers.7.self_attn.q_proj,attn_qkv,7,1.0000,5
43,model.decoder.layers.7.self_attn.k_proj,attn_qkv,7,1.0000,5
44,model.decoder.layers.7.self_attn.v_proj,attn_qkv,7,1.0000,5
45,model.decoder.layers.7.self_attn.out_proj,attn_out,7,0.0844,2
46,model.decoder.layers.7.fc1,ffn_up,7,1.0000,5
47,model.decoder.layers.7.fc2,ffn_down,7,0.0474,2
48,model.decoder.layers.8.self_attn.q_proj,attn_qkv,7,1.0000,5
49,model.decoder.layers.8.self_attn.k_proj,attn_qkv,7,1.0000,5
50,model.decoder.layers.8.self_attn.v_proj,attn_qkv,7,1.0000,5
51,model.decoder.layers.8.self_attn.out_proj,attn_out,7,0.0630,1
52,model.decoder.layers.8.fc1,ffn_up,7,1.0000,5
53,model.decoder.layers.8.fc2,ffn_down,7,0.2092,2
54,model.decoder.layers.9.self_attn.q_proj,attn_qkv,7,1.0000,5
55,model.decoder.layers.9.self_attn.k_proj,attn_qkv,7,1.0000,5
56,model.decoder.layers.9.self_attn.v_proj,attn_qkv,7,1.0000,5
57,model.decoder.layers.9.self_attn.out_proj,attn_out,7,0.0768,1
58,model.decoder.layers.9.fc1,ffn_up,7,1.0000,5
59,model.decoder.layers.9.fc2,ffn_down,7,0.3546,2
60,model.decoder.layers.10.self_attn.q_proj,attn_qkv,7,1.0000,5
61,model.decoder.layers.10.self_attn.k_proj,attn_qkv,7,1.0000,5
62,model.decoder.layers.10.self_attn.v_proj,attn_qkv,7,1.0000,5
63,model.decoder.layers.10.self_attn.out_proj,attn_out,7,0.1051,1
64,model.decoder.layers.10.fc1,ffn_up,7,1.0000,4
65,model.decoder.layers.10.fc2,ffn_down,7,0.7275,2
66,model.decoder.layers.11.self_attn.q_proj,attn_qkv,7,1.0000,5
67,model.decoder.layers.11.self_attn.k_proj,attn_qkv,7,1.0000,5
68,model.decoder.layers.11.self_attn.v_proj,attn_qkv,7,1.0000,5
69,model.decoder.layers.11.self_attn.out_proj,attn_out,7,0.1007,1
70,model.decoder.layers.11.fc1,ffn_up,7,1.0000,4
71,model.decoder.layers.11.fc2,ffn_down,7,0.9255,3
72,lm_head,lm_head,7,1.0000,4
