layer,in_features,act_max,act_mean,act_std,outlier_channel_fraction,outlier_channels_count,token_outlier_rate,sat_rate_worst,sat_rate_typical,bits_needed,adc_overhead_bits
model.decoder.layers.0.self_attn.q_proj,2048,10.882031440734863,0.7762899398803711,0.9916068315505981,0.0,0,0.001953125,1.0,0.0,11,4
model.decoder.layers.0.self_attn.k_proj,2048,10.882031440734863,0.7762899398803711,0.9916068315505981,0.0,0,0.001953125,1.0,0.0,11,4
model.decoder.layers.0.self_attn.v_proj,2048,10.882031440734863,0.7762899398803711,0.9916068315505981,0.0,0,0.001953125,1.0,0.0,11,4
model.decoder.layers.0.self_attn.out_proj,2048,4.092544078826904,0.034840311855077744,0.06682238727807999,0.0,0,0.090087890625,0.097412109375,0.0,10,3
model.decoder.layers.0.fc1,2048,33.481868743896484,0.2692517936229706,0.9989251494407654,0.0,0,0.026611328125,1.0,0.0,13,6
model.decoder.layers.0.fc2,8192,13.974382400512695,0.005984016694128513,0.0724172443151474,0.0,0,0.924072265625,1.0,0.0,11,4
model.decoder.layers.1.self_attn.q_proj,2048,40.656410217285156,0.1938973218202591,0.987832248210907,0.0,0,0.067138671875,1.0,0.0,13,6
model.decoder.layers.1.self_attn.k_proj,2048,40.656410217285156,0.1938973218202591,0.987832248210907,0.0,0,0.067138671875,1.0,0.0,13,6
model.decoder.layers.1.self_attn.v_proj,2048,40.656410217285156,0.1938973218202591,0.987832248210907,0.0,0,0.067138671875,1.0,0.0,13,6
model.decoder.layers.1.self_attn.out_proj,2048,2.9250245094299316,0.02002028003334999,0.036285400390625,0.0,0,0.129150390625,0.0029296875,0.0,9,2
model.decoder.layers.1.fc1,2048,40.72842788696289,0.25390002131462097,1.010142207145691,0.0,0,0.064453125,1.0,0.0,13,6
model.decoder.layers.1.fc2,8192,6.373080730438232,0.0017795322928577662,0.032259825617074966,0.0,0,0.921875,0.78515625,0.0,10,3
model.decoder.layers.2.self_attn.q_proj,2048,42.2803955078125,0.21233969926834106,0.9897943735122681,0.0,0,0.049072265625,1.0,0.0,13,6
model.decoder.layers.2.self_attn.k_proj,2048,42.2803955078125,0.21233969926834106,0.9897943735122681,0.0,0,0.049072265625,1.0,0.0,13,6
model.decoder.layers.2.self_attn.v_proj,2048,42.2803955078125,0.21233969926834106,0.9897943735122681,0.0,0,0.049072265625,1.0,0.0,13,6
model.decoder.layers.2.self_attn.out_proj,2048,2.428149700164795,0.027193602174520493,0.04653511568903923,0.0,0,0.183837890625,0.005615234375,0.0,9,2
model.decoder.layers.2.fc1,2048,42.4455680847168,0.25283995270729065,1.003023624420166,0.0,0,0.047607421875,1.0,0.0,13,6
model.decoder.layers.2.fc2,8192,5.2075934410095215,0.0017396571347489953,0.033265262842178345,0.0,0,0.948486328125,0.71337890625,0.0,10,3
model.decoder.layers.3.self_attn.q_proj,2048,42.793426513671875,0.251941978931427,0.9909873604774475,0.0,0,0.0439453125,1.0,0.0,13,6
model.decoder.layers.3.self_attn.k_proj,2048,42.793426513671875,0.251941978931427,0.9909873604774475,0.0,0,0.0439453125,1.0,0.0,13,6
model.decoder.layers.3.self_attn.v_proj,2048,42.793426513671875,0.251941978931427,0.9909873604774475,0.0,0,0.0439453125,1.0,0.0,13,6
model.decoder.layers.3.self_attn.out_proj,2048,1.5741513967514038,0.0336601659655571,0.05632380023598671,0.0,0,0.16259765625,0.0498046875,0.0,8,1
model.decoder.layers.3.fc1,2048,42.99348449707031,0.28476935625076294,1.0038442611694336,0.0,0,0.04345703125,1.0,0.0,13,6
model.decoder.layers.3.fc2,8192,9.1126708984375,0.001355826505459845,0.030854173004627228,0.0,0,0.94970703125,0.595703125,0.0,11,4
model.decoder.layers.4.self_attn.q_proj,2048,43.27457809448242,0.2883969247341156,0.9939585328102112,0.0,0,0.033935546875,1.0,0.0,13,6
model.decoder.layers.4.self_attn.k_proj,2048,43.27457809448242,0.2883969247341156,0.9939585328102112,0.0,0,0.033935546875,1.0,0.0,13,6
model.decoder.layers.4.self_attn.v_proj,2048,43.27457809448242,0.2883969247341156,0.9939585328102112,0.0,0,0.033935546875,1.0,0.0,13,6
model.decoder.layers.4.self_attn.out_proj,2048,1.8420780897140503,0.0400780513882637,0.06984852999448776,0.0,0,0.186767578125,0.113525390625,0.0,8,1
model.decoder.layers.4.fc1,2048,43.17153549194336,0.32242467999458313,1.0050382614135742,0.0,0,0.02783203125,1.0,0.0,13,6
model.decoder.layers.4.fc2,8192,7.590981960296631,0.0017552963690832257,0.03348470479249954,0.0,0,0.97216796875,0.630859375,0.0,10,3
model.decoder.layers.5.self_attn.q_proj,2048,43.182926177978516,0.3224194347858429,0.9934531450271606,0.0,0,0.030517578125,1.0,0.0,13,6
model.decoder.layers.5.self_attn.k_proj,2048,43.182926177978516,0.3224194347858429,0.9934531450271606,0.0,0,0.030517578125,1.0,0.0,13,6
model.decoder.layers.5.self_attn.v_proj,2048,43.182926177978516,0.3224194347858429,0.9934531450271606,0.0,0,0.030517578125,1.0,0.0,13,6
model.decoder.layers.5.self_attn.out_proj,2048,1.3541321754455566,0.0426010936498642,0.06758240610361099,0.0,0,0.177001953125,0.03173828125,0.0,8,1
model.decoder.layers.5.fc1,2048,42.99724197387695,0.36137473583221436,1.009905219078064,0.0,0,0.0244140625,1.0,0.0,13,6
