layer,in_features,act_max,act_mean,act_std,outlier_channel_fraction,outlier_channels_count,token_outlier_rate,sat_rate_worst,sat_rate_typical,bits_needed,adc_overhead_bits
model.decoder.layers.0.self_attn.q_proj,768,3.425585985183716,0.22479139268398285,0.29488813877105713,0.0,0,0.001953125,0.9991455078125,0.0,9,2
model.decoder.layers.0.self_attn.k_proj,768,3.425585985183716,0.22479139268398285,0.29488813877105713,0.0,0,0.001953125,0.9991455078125,0.0,9,2
model.decoder.layers.0.self_attn.v_proj,768,3.425585985183716,0.22479139268398285,0.29488813877105713,0.0,0,0.001953125,0.9991455078125,0.0,9,2
model.decoder.layers.0.self_attn.out_proj,768,0.7834491729736328,0.02886129729449749,0.04889196529984474,0.0,0,0.0904541015625,0.0,0.0,7,0
model.decoder.layers.0.fc1,768,3.0592446327209473,0.1098550334572792,0.14559206366539001,0.0,0,0.00250244140625,0.3343505859375,0.0,9,2
model.decoder.layers.0.fc2,3072,18.942710876464844,0.006225086282938719,0.04124683141708374,0.0,0,0.9676513671875,0.001953125,0.0,12,5
model.decoder.layers.1.self_attn.q_proj,768,5.976691722869873,0.21240545809268951,0.28767791390419006,0.0,0,0.00262451171875,0.99993896484375,0.0,10,3
model.decoder.layers.1.self_attn.k_proj,768,5.976691722869873,0.21240545809268951,0.28767791390419006,0.0,0,0.00262451171875,0.99993896484375,0.0,10,3
model.decoder.layers.1.self_attn.v_proj,768,5.976691722869873,0.21240545809268951,0.28767791390419006,0.0,0,0.00262451171875,0.99993896484375,0.0,10,3
model.decoder.layers.1.self_attn.out_proj,768,0.6414583325386047,0.021718449890613556,0.035454679280519485,0.0,0,0.033935546875,0.0,0.0,7,0
model.decoder.layers.1.fc1,768,8.106743812561035,0.18880952894687653,0.40550920367240906,0.0,0,0.0030517578125,1.0,0.0,11,4
model.decoder.layers.1.fc2,3072,2.487076759338379,0.0024368874728679657,0.0215351190418005,0.0,0,0.98016357421875,0.00244140625,0.0,9,2
model.decoder.layers.2.self_attn.q_proj,768,9.7609224319458,0.3083138167858124,0.5850880742073059,0.0,0,0.00738525390625,1.0,0.0,11,4
model.decoder.layers.2.self_attn.k_proj,768,9.7609224319458,0.3083138167858124,0.5850880742073059,0.0,0,0.00738525390625,1.0,0.0,11,4
model.decoder.layers.2.self_attn.v_proj,768,9.7609224319458,0.3083138167858124,0.5850880742073059,0.0,0,0.00738525390625,1.0,0.0,11,4
model.decoder.layers.2.self_attn.out_proj,768,1.291568636894226,0.027021139860153198,0.045763105154037476,0.0,0,0.15765380859375,0.001953125,0.0,8,1
model.decoder.layers.2.fc1,768,20.014427185058594,0.1760873943567276,0.28812795877456665,0.0,0,0.0076904296875,1.0,0.0,12,5
model.decoder.layers.2.fc2,3072,5.699468612670898,0.0020865914411842823,0.027324598282575607,0.0,0,0.99005126953125,0.00238037109375,0.0,10,3
model.decoder.layers.3.self_attn.q_proj,768,11.281867980957031,0.30384138226509094,0.6177958846092224,0.0,0,0.0074462890625,1.0,0.0,11,4
model.decoder.layers.3.self_attn.k_proj,768,11.281867980957031,0.30384138226509094,0.6177958846092224,0.0,0,0.0074462890625,1.0,0.0,11,4
model.decoder.layers.3.self_attn.v_proj,768,11.281867980957031,0.30384138226509094,0.6177958846092224,0.0,0,0.0074462890625,1.0,0.0,11,4
model.decoder.layers.3.self_attn.out_proj,768,0.7476382255554199,0.024274909868836403,0.040453240275382996,0.0,0,0.224609375,0.0,0.0,7,0
model.decoder.layers.3.fc1,768,14.340668678283691,0.18146425485610962,0.25321635603904724,0.0,0,0.00726318359375,1.0,0.0,11,4
model.decoder.layers.3.fc2,3072,3.3318986892700195,0.0012480959994718432,0.016534319147467613,0.0,0,0.96282958984375,0.00201416015625,0.0,9,2
model.decoder.layers.4.self_attn.q_proj,768,15.333041191101074,0.3521054983139038,0.6457308530807495,0.0,0,0.00665283203125,1.0,0.0,11,4
model.decoder.layers.4.self_attn.k_proj,768,15.333041191101074,0.3521054983139038,0.6457308530807495,0.0,0,0.00665283203125,1.0,0.0,11,4
model.decoder.layers.4.self_attn.v_proj,768,15.333041191101074,0.3521054983139038,0.6457308530807495,0.0,0,0.00665283203125,1.0,0.0,11,4
model.decoder.layers.4.self_attn.out_proj,768,1.062968373298645,0.02862686850130558,0.0485733300447464,0.0,0,0.268798828125,0.000244140625,0.0,8,1
model.decoder.layers.4.fc1,768,15.144189834594727,0.19512249529361725,0.28559187054634094,0.0,0,0.00616455078125,1.0,0.0,11,4
model.decoder.layers.4.fc2,3072,4.947651386260986,0.0034318778198212385,0.02673276886343956,0.0,0,0.995849609375,0.0052490234375,0.0,10,3
model.decoder.layers.5.self_attn.q_proj,768,13.381263732910156,0.3491874635219574,0.603114128112793,0.0,0,0.0057373046875,1.0,0.0,11,4
model.decoder.layers.5.self_attn.k_proj,768,13.381263732910156,0.3491874635219574,0.603114128112793,0.0,0,0.0057373046875,1.0,0.0,11,4
model.decoder.layers.5.self_attn.v_proj,768,13.381263732910156,0.3491874635219574,0.603114128112793,0.0,0,0.0057373046875,1.0,0.0,11,4
model.decoder.layers.5.self_attn.out_proj,768,1.1869126558303833,0.03633983060717583,0.06492925435304642,0.0,0,0.28289794921875,0.00054931640625,0.0,8,1
model.decoder.layers.5.fc1,768,6.340760707855225,0.18794266879558563,0.2807570993900299,0.0,0,0.00531005859375,1.0,0.0,10,3
model.decoder.layers.5.fc2,3072,2.079740285873413,0.007082192227244377,0.03514556214213371,0.0,0,0.998291015625,0.00299072265625,0.0,9,2
model.decoder.layers.6.self_attn.q_proj,768,14.580864906311035,0.35790327191352844,0.5792416334152222,0.0,0,0.005859375,1.0,0.0,11,4
model.decoder.layers.6.self_attn.k_proj,768,14.580864906311035,0.35790327191352844,0.5792416334152222,0.0,0,0.005859375,1.0,0.0,11,4
model.decoder.layers.6.self_attn.v_proj,768,14.580864906311035,0.35790327191352844,0.5792416334152222,0.0,0,0.005859375,1.0,0.0,11,4
model.decoder.layers.6.self_attn.out_proj,768,1.216020107269287,0.03754698857665062,0.06598880141973495,0.0,0,0.2713623046875,0.00250244140625,0.0,8,1
