layer,layer_type,layer_idx,nominal_bits,probe_bits,delta_ppl,sat_rate,sensitivity,baseline_ppl,ppl_clean
model.decoder.layers.0.self_attn.k_proj,attn_qkv,0,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.0.self_attn.v_proj,attn_qkv,1,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.0.self_attn.q_proj,attn_qkv,2,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.0.self_attn.out_proj,attn_out,3,7,6,0.86573733780547,0.03520216138749887,0.86573733780547,333.839582194281,38.348976235301265
model.decoder.layers.0.fc1,ffn_up,4,7,6,0.20145466643651844,0.035568973605305775,0.20145466643651844,333.839582194281,38.348976235301265
model.decoder.layers.0.fc2,ffn_down,5,7,6,1.4129055779128283,0.03529345573253057,1.4129055779128283,333.839582194281,38.348976235301265
model.decoder.layers.1.self_attn.k_proj,attn_qkv,6,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.1.self_attn.v_proj,attn_qkv,7,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.1.self_attn.q_proj,attn_qkv,8,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.1.self_attn.out_proj,attn_out,9,7,6,0.86573733780547,0.03520216138749887,0.86573733780547,333.839582194281,38.348976235301265
model.decoder.layers.1.fc1,ffn_up,10,7,6,0.20145466643651844,0.035568973605305775,0.20145466643651844,333.839582194281,38.348976235301265
model.decoder.layers.1.fc2,ffn_down,11,7,6,1.4129055779128283,0.03529345573253057,1.4129055779128283,333.839582194281,38.348976235301265
model.decoder.layers.2.self_attn.k_proj,attn_qkv,12,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.2.self_attn.v_proj,attn_qkv,13,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.2.self_attn.q_proj,attn_qkv,14,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.2.self_attn.out_proj,attn_out,15,7,6,0.86573733780547,0.03520216138749887,0.86573733780547,333.839582194281,38.348976235301265
model.decoder.layers.2.fc1,ffn_up,16,7,6,0.20145466643651844,0.035568973605305775,0.20145466643651844,333.839582194281,38.348976235301265
model.decoder.layers.2.fc2,ffn_down,17,7,6,1.4129055779128283,0.03529345573253057,1.4129055779128283,333.839582194281,38.348976235301265
model.decoder.layers.3.self_attn.k_proj,attn_qkv,18,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.3.self_attn.v_proj,attn_qkv,19,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.3.self_attn.q_proj,attn_qkv,20,7,6,0.1282723841958939,0.03526885044749518,0.1282723841958939,333.839582194281,38.348976235301265
model.decoder.layers.3.self_attn.out_proj,attn_out,21,7,6,0.86573733780547,0.03520216138749887,0.86573733780547,333.839582194281,38.348976235301265
model.decoder.layers.3.fc1,ffn_up,22,7,6,0.20145466643651844,0.035568973605305775,0.20145466643651844,333.839582194281,38.348976235301265
model.decoder.layers.3.fc2,ffn_down,23,7,6,1.4129055779128283,0.03529345573253057,1.4129055779128283,333.839582194281,38.348976235301265
